"33","3.519587","10.20.0.208","81.17.208.200","TCP","78","49889  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=736579777 TSecr=0 SACK_PERM=1"
"41","3.537493","81.17.208.200","10.20.0.208","TCP","74","443  >  49889 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 TSval=3806138670 TSecr=736579777 WS=256"
"43","3.537608","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=736579794 TSecr=3806138670"
"48","3.538506","10.20.0.208","81.17.208.200","TLSv1.2","583","Client Hello"
"63","3.559560","81.17.208.200","10.20.0.208","TLSv1.2","1514","Server Hello"
"64","3.559564","81.17.208.200","10.20.0.208","TCP","1514","443  >  49889 [ACK] Seq=1449 Ack=518 Win=30208 Len=1448 TSval=3806138675 TSecr=736579794 [TCP segment of a reassembled PDU]"
"65","3.559566","81.17.208.200","10.20.0.208","TLSv1.2","1497","Certificate, Server Key Exchange, Server Hello Done"
"66","3.559663","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=518 Ack=2897 Win=128832 Len=0 TSval=736579815 TSecr=3806138675"
"67","3.559664","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=518 Ack=4328 Win=127424 Len=0 TSval=736579815 TSecr=3806138675"
"69","3.560215","10.20.0.208","81.17.208.200","TCP","66","[TCP Window Update] 49889  >  443 [ACK] Seq=518 Ack=4328 Win=131072 Len=0 TSval=736579815 TSecr=3806138675"
"76","3.568726","10.20.0.208","81.17.208.200","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"83","3.587520","81.17.208.200","10.20.0.208","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"84","3.587620","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=644 Ack=4570 Win=130816 Len=0 TSval=736579841 TSecr=3806138682"
"85","3.588079","10.20.0.208","81.17.208.200","TLSv1.2","1040","Application Data"
"107","3.607197","81.17.208.200","10.20.0.208","TLSv1.2","535","Application Data"
"108","3.607249","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=1618 Ack=5039 Win=130560 Len=0 TSval=736579859 TSecr=3806138688"
"213","4.197921","10.20.0.208","81.17.208.200","TLSv1.2","1064","Application Data"
"226","4.219082","81.17.208.200","10.20.0.208","TLSv1.2","535","Application Data"
"228","4.219195","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=2616 Ack=5508 Win=130560 Len=0 TSval=736580461 TSecr=3806138840"
"574","14.217718","81.17.208.200","10.20.0.208","TLSv1.2","97","Encrypted Alert"
"575","14.217721","81.17.208.200","10.20.0.208","TCP","66","443  >  49889 [FIN, ACK] Seq=5539 Ack=2616 Win=34048 Len=0 TSval=3806141340 TSecr=736580461"
"576","14.217786","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=2616 Ack=5539 Win=131008 Len=0 TSval=736590374 TSecr=3806141340"
"577","14.217786","10.20.0.208","81.17.208.200","TCP","66","49889  >  443 [ACK] Seq=2616 Ack=5540 Win=131008 Len=0 TSval=736590374 TSecr=3806141340"
"715","17.989279","10.20.0.208","81.17.208.200","TCP","54","49889  >  443 [RST, ACK] Seq=2616 Ack=5540 Win=131008 Len=0"
